sample_date,collection_num,sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn
2020-06-30,7,CC_7_C,N1,Undetermined,-3.389,34.008,0.0002
2020-06-30,7,CC_7_C,N1,Undetermined,-3.389,34.008,0.0002
2020-06-30,7,CC_7_C,N1,Undetermined,-3.389,34.008,0.0002
2020-06-30,7,MI_7_C,N1,Undetermined,-3.389,34.008,0.0002
2020-06-30,7,MI_7_C,N1,37.04840088,-3.389,34.008,0.126724896
2020-06-30,7,MI_7_C,N1,Undetermined,-3.389,34.008,0.0002
2020-06-30,7,NO_7_C,N1,36.17138672,-3.389,34.008,0.229955881
2020-06-30,7,NO_7_C,N1,Undetermined,-3.389,34.008,0.0002
2020-06-30,7,NO_7_C,N1,34.37643051,-3.389,34.008,0.77854974
2020-07-07,8,NO_7_C,N1,36.17138672,-3.389,34.008,0.0002
2020-07-07,8,NO_7_C,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,NO_7_C,N1,34.37643051,-3.389,34.008,0.0002
2020-07-07,8,MI_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,MI_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,MI_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,MI_8_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,MI_8_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,NO_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,NO_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,NO_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,NO_8_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,NO_8_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,NO_8_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,MI_8_B,N1,36.13670731,-3.389,34.008,0.235438484
2020-07-07,8,CC_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,CC_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,CC_8_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,CC_8_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,CC_8_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-07,8,CC_8_B,N1,37.06201935,-3.389,34.008,0.125557745
2020-07-14,9,NO_9_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-14,9,NO_9_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-14,9,NO_9_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-14,9,MI_9_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-14,9,MI_9_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-14,9,MI_9_A,N1,Undetermined,-3.389,34.008,0.0002
2020-07-14,9,NO_9_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-14,9,NO_9_B,N1,Undetermined,-3.389,34.008,0.0002
2020-07-14,9,NO_9_B,N1,37.05036163,-3.389,34.008,0.126556186
